https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume BUSD,tradecount
1576972800000,2019-12-22,BNBBUSD,13.2763,13.8158,13.2697,13.7843,2787.53,37687.681265,829
1576886400000,2019-12-21,BNBBUSD,13.5011,13.5027,13.2541,13.2928,1707.36,22837.137128,466
1576800000000,2019-12-20,BNBBUSD,13.3081,13.5256,13.0553,13.4959,3458.58,46119.899263,714
1576713600000,2019-12-19,BNBBUSD,13.598,13.7593,12.9521,13.3257,4708.56,62543.267058,710
1576627200000,2019-12-18,BNBBUSD,12.382,13.742,12.1919,13.608,9939.05,129822.643009,1301
1576540800000,2019-12-17,BNBBUSD,13.3734,13.426,12.1505,12.3413,5375.28,68569.568399,785
1576454400000,2019-12-16,BNBBUSD,14.3693,14.3838,13.1843,13.4362,5047.39,69528.14521,806
1576368000000,2019-12-15,BNBBUSD,14.3542,14.4612,14.1363,14.3693,2888.38,41300.863436,743
1576281600000,2019-12-14,BNBBUSD,14.8168,14.9593,14.2,14.3495,5214.58,75916.980575,837
1576195200000,2019-12-13,BNBBUSD,14.713,14.9492,14.65,14.8151,7201.94,106261.991872,1607
1576108800000,2019-12-12,BNBBUSD,14.7627,14.86,14.3229,14.713,9299.15,135565.045937,1315
1576022400000,2019-12-11,BNBBUSD,14.8109,14.9992,14.6,14.7479,4102.1,60832.129677,629
1575936000000,2019-12-10,BNBBUSD,15.3102,15.3263,14.5936,14.7938,3942.09,59104.477025,830
1575849600000,2019-12-09,BNBBUSD,15.6163,15.785,15.1,15.3105,4437.91,68797.731729,921
1575763200000,2019-12-08,BNBBUSD,15.6068,15.7258,15.3747,15.6163,2432.89,37893.064143,823
1575676800000,2019-12-07,BNBBUSD,15.6733,15.8083,15.5408,15.6002,2104.37,32994.236444,936
1575590400000,2019-12-06,BNBBUSD,15.6482,15.7376,15.3135,15.6731,5218.45,81121.819094,1388
1575504000000,2019-12-05,BNBBUSD,15.1008,15.6965,14.8108,15.6523,6722.23,103256.310788,2060
1575417600000,2019-12-04,BNBBUSD,15.2448,15.8039,14.8592,15.1169,6992.23,107305.021328,1748
1575331200000,2019-12-03,BNBBUSD,15.13,15.4285,15.0568,15.2829,2232.79,34090.377036,927
1575244800000,2019-12-02,BNBBUSD,15.4574,15.602,15.051,15.13,2476.67,37863.814347,907
1575158400000,2019-12-01,BNBBUSD,15.6836,15.6892,14.9341,15.4489,4837.9,73670.102944,1004
1575072000000,2019-11-30,BNBBUSD,16.2136,16.293,15.4934,15.7402,4660.36,74108.050614,607
1574985600000,2019-11-29,BNBBUSD,15.5414,16.2862,15.5,16.2136,6183.09,98597.527153,838
1574899200000,2019-11-28,BNBBUSD,16.0476,16.1714,15.4293,15.5338,2649.16,41874.250995,856
1574812800000,2019-11-27,BNBBUSD,15.3777,16.2459,14.6238,16.0585,6102.56,95203.976007,1128
1574726400000,2019-11-26,BNBBUSD,15.21,15.8438,14.9914,15.3209,6268.06,96095.817954,977
